,Tahmin,Tahmin,Tahmin,Ortalama,Büyüme
2022-09-30,0.31548303,0.15387696,0.20402998,0.22446333,0.5422066251980766
2022-12-31,1.401303,1.1443844,1.3259329,1.2905401,1.1485431396391732
2023-03-31,0.9186281,0.3509851,0.7692919,0.67963505,0.10115812477582153
2023-06-30,3.7019043,3.1846511,3.9151795,3.6005783,3.998077126984853
2023-09-30,-0.021584565,0.1728589,0.6517774,0.2676839,0.23914365494266576
2023-12-31,0.35177857,-0.08918267,0.3463149,0.20297027,1.1669814135147618
2024-03-31,1.75726,1.7107736,2.2333777,1.9004704,1.172371539894712
2024-06-30,0.12845987,-0.24589711,-0.12803417,-0.0818238,-0.21458573008260373
2024-09-30,-0.41083246,-0.43502074,-0.24128133,-0.3623782,-0.20367895020426374
2024-12-31,1.0434539,0.70054543,0.81556153,0.8531869,0.0
