,Restoran
0,zambak-bosnak-borekcisi-kocatepe-mah-bayrampasa-istanbul
1,yilmaz-pastanesi-rami-cuma-mah-eyupsultan-istanbul
2,ali-baba-borek-ve-guvec-salonu-merkez-mah-gaziosmanpasa-istanbul
3,namli-sariyer-borekcisi-merkez-mah-gaziosmanpasa-istanbul
4,zafer-borek-pide-topcular-mah-eyupsultan-istanbul
5,namli-sariyer-borek-guvec-yildiztabya-mah-gaziosmanpasa-istanbul
6,elif-bosnak-borekcisi-merkez-mah-gaziosmanpasa-istanbul
7,asiltat-baklava-ve-borek-yenidogan-mah-bayrampasa-istanbul
8,cinar-borek-guvec-sakarya-mah-eyupsultan-istanbul
9,namli-sariyer-borek-guvec-pide-salonu-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
10,melike-borek-75-yil-mah-sultangazi-istanbul
11,safran-pasta-borek-cafe-kazimkarabekir-mah-gaziosmanpasa-istanbul
12,meshur-sariyer-guvec-ve-borek-salonu-karadeniz-mah-gaziosmanpasa-istanbul
13,dilek-pastanesi-restaurant-fevzi-cakmak-mah-gaziosmanpasa-istanbul
14,namli-sariyer-borekcisi-karadeniz-mah-gaziosmanpasa-istanbul
15,meshur-sariyer-borekcisi-kartaltepe-mah-bayrampasa-bayrampasa-istanbul
16,cardak-cafe-borek-guvec-sarigol-mah-gaziosmanpasa-istanbul
17,meshur-sariyer-borekcisi-karadolap-mah-eyupsultan-istanbul-3
18,bulent-borek-semsipasa-mah-gaziosmanpasa-istanbul
19,meshur-sariyer-borekcisi-eyupsultan-aksemsettin-mah-eyupsultan-istanbul
20,sariyer-borek-kafe-yenidogan-mah-bayrampasa-istanbul
21,prava-pita-bosnak-borekcisi-fevzi-cakmak-mah-gaziosmanpasa-istanbul
