,Restoran
0,yilmaz-pastanesi-rami-cuma-mah-eyupsultan-istanbul
1,seyidoglu-baklava-pasta-cafe-esenler-kazim-karabekir-mah-esenler-istanbul
2,pasta-sanati-aksemsettin-mah-fatih-istanbul
3,koyum-pasta-cafe-ismet-pasa-mah-bayrampasa-istanbul
4,safran-pasta-borek-cafe-kazimkarabekir-mah-gaziosmanpasa-istanbul
5,dilek-pastanesi-restaurant-fevzi-cakmak-mah-gaziosmanpasa-istanbul
6,churrox-ispanyol-tatlicisi-muratpasa-mah-bayrampasa-istanbul
7,tatlibak-b-hayr-pasa-mah-eski-edirne-asfalti-gaziosmanpasa-istanbul
8,faruk-gulluoglu-muratpasa-mah-bayrampasa-istanbul
9,hero-s-tatli-hurriyet-mah-gaziosmanpasa-istanbul
10,hatay-tatlicisi-ikizler-orta-mah-bayrampasa-istanbul
11,faruk-gulluoglu-topcular-mah-eyupsultan-istanbul
