,Restoran
2,hero-s-pizza-hurriyet-mah-gaziosmanpasa-istanbul
27,pizza-lazza-kocatepe-mah-bayrampasa-istanbul
55,abone-pizza-lahmacun-emniyet-evleri-mah-kagithane-istanbul
174,pizza-lazza-sarigol-mah-gaziosmanpasa-istanbul
182,domino-s-pizza-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
188,pasaport-pizza
191,pizza-lazza-kocatepe-mah-bayrampasa-istanbul
193,little-caesars-pizza-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
195,pizza-bulls-hurriyet-mah-gaziosmanpasa-istanbul
196,pizza-station-yildiztabya-mah-gaziosmanpasa-istanbul
