,Restoran
0,bodrum-doner-yeni-mah-gaziosmanpasa-istanbul
1,melike-doner-75-yil-mah-sultangazi-istanbul
2,cadde-doner-bayrampasa-merkez-mah-bayrampasa-istanbul
3,usta-donerci
4,maydonoz-doner-baglarbasi-mah-gaziosmanpasa-istanbul
5,bereket-doner-yildirim-mah-bayrampasa-istanbul
6,eskiler-doner-iskender-islambey-mah-eyupsultan-istanbul
7,ala-et-doner-yildirim-mah-bayrampasa-istanbul
8,donerci-hasan-usta-alibeykoy-mah-eyupsultan-istanbul
9,46-zurna-durum-alibeykoy-mah-eyupsultan-istanbul
10,doner-keyf-ercan-et-gaziosmanpasa-karayollari-mah-gaziosmanpasa-istanbul
11,haci-baba-hatay-usulu-soslu-doner-orta-mah-bayrampasa-istanbul
12,acaip-soslu-doner-75-yil-mah-sultangazi-istanbul
13,hot-doner-yildirim-mah-bayrampasa-istanbul
14,maydonoz-doner-baglarbasi-mah-gaziosmanpasa-istanbul
15,durum-max-zurna-durum-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul-2
