,Restoran
0,sultangazi-cig-kofte-salonu-topcular-mah-eyupsultan-istanbul
1,komagene-etsiz-cig-kofte
2,oses-cig-kofte-islambey-mah-eyupsultan-istanbul
3,ustam-cig-kofte-yildiztabya-mah-gaziosmanpasa-istanbul
4,mostar-cig-kofte-topcular-mah-eyupsultan-istanbul
5,istanbul-cig-kofte-sarigol-mah-gaziosmanpasa-istanbul
6,has-cig-kofte-dunyasi-birlik-mah-esenler-istanbul
7,cig-kofteci-sait-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
