,Restoran
0,kemer-pilav-esenler-kemer-mah-esenler-istanbul
1,arnavut-cigeri-pilav-gym-sakarya-mah-eyupsultan-istanbul
2,adile-sultan-ev-yemekleri-kocatepe-mah-bayrampasa-istanbul
