,Restoran
0,zafer-borek-pide-topcular-mah-eyupsultan-istanbul
1,namli-sariyer-borek-guvec-pide-salonu-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
2,enes-pide-lahmacun-salonu-sisli-fulya-mah-sisli-istanbul
3,oz-sanli-urfa-pide-lahmacun-besiktas-levent-mah-besiktas-istanbul
4,yoremiz-pide-lahmacun-salonu-gaziosmanpasa-karayollari-mah-gaziosmanpasa-istanbul
5,babos-pide-lahmacun-gaziosmanpasa-karadeniz-mah-gaziosmanpasa-istanbul
6,tarihi-karadeniz-pide-guvec-salonu-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
7,usta-pideci
8,meshur-kardesler-pide-guvec-hurriyet-mah-gaziosmanpasa-istanbul
9,gulhanedan-kebap-pide-muratpasa-mah-bayrampasa-istanbul
10,altmis-sekiz-kebap-lahmacun-cevatpasa-mah-bayrampasa-istanbul
11,sahkonak-restoran-karayollari-mah-gaziosmanpasa-istanbul
12,1993-eyup-sadabad-kebap-lahmacun-islambey-mah-eyupsultan-istanbul
