,Restoran
0,mcdonald-s-gaziosmanpasa-merkez-mah-gaziosmanpasa-istanbul
12,sedat-bufe-emniyettepe-mah-eyupsultan-istanbul
49,saloon-burger-topcular-mah-eyupsultan-istanbul
180,burger-king-gaziosmanpasa-baglarbasi-mah-gaziosmanpasa-istanbul
183,mcdonald-s
184,kfc
